Choir-Name,Path,Filename,<p>,Last Update
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,,11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"Der 1.
Posaunenchor wurde, nach der Ortsgeschichte von Johann Sörgel, 1911 gegründet.
Nach einer Sammlung konnten Instrumente für 400 Reichsmark erstanden werden.
Nachdem viele Bläser ihren Militärdienst ableisten mussten, stellte der Chor
1917 seine Arbeit ein. Nach dem Krieg beginnt der Posaunenchor 1919 wieder, stellt
aber im Winter 1921 nach internen Querelen seine Tätigkeit komplett ein.

Der 2. Posaunenchor wurde im Mai 1924 gegründet und stellte bereits im November
1927 seine Tätigkeit wieder ein. 

Der 3. Schnieglinger Posaunenchor wurde im März 1931 gegründet. Er wurde später
in Musikabteilung umbenannt. Was aus dieser Musikabteilung geworden
ist, ist aus den Protokollbüchern nicht nachzulesen.

Der 4. Schnieglinger Posaunenchor wurde von Karl Pfann und Walter Semlow
gegründet. Man schrieb das Jahr 1948, die Währungsreform stand erst noch
bevor, und so hatte auch die Schnieglinger Gemeinde kein Geld, um Instrumente
zu kaufen. Mit geliehenen und gespendeten Instrumenten wurden die ersten Proben
im Treibhaus der Gärtnerei Pfann durchgeführt. Im Oktober 1950 wurde dem 19-jährigen
Karl Pfann die Leitung des Posaunenchores übertragen, die er bis zum Mai 1993
innehatte. Unter der Leitung von Karl Pfann gelang es dem Chor, sich an
die Spitze der bayerischen Posaunenchöre zu setzen. Am 5. Januar 1958 brachte
der Bayerische Rundfunk eine halbstündige Sendung nur mit Vorträgen des
Schnieglinger Chores. 1975 kam es zum Kontakt mit der Arbeitsgemeinschaft
Fränkischer Volksmusik über die heute bereits traditionelle Fränkische
Weihnacht, die der Chor bis heute musikalisch begleitet. Als Nachfolger
von Karl Pfann wurde im Juni 1993 Paul Reinhardt vom Chor einstimmig gewählt.
Seit dieser Zeit wurden viele Nachwuchsbläser unter der Mitarbeit von Erich
Kaiser und Hans und Paul Reinhardt ausgebildet und in den Chor eingegliedert,
so dass sich der Chor erheblich verjüngt hat. Das Durchschnittsalter liegt zur
Zeit bei 29,2 Jahren. 
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"Im Jahre
1998 feierte der Chor sein 50-jähriges Jubiläum mit Festgottesdienst und
Konzert. 
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,Neuer Absatz,11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"Im Jahr
1999  erklärte der langjährige Obmann Hans Sörgel seinen
Rücktritt. Während seiner Amtszeit fand die erste Verjüngung des Chores
statt. Die Höhepunkte in diesem Jahr waren der Probechor für die Wahl des
Leitenden Landesposaunenwart, außerdem beteiligten wir uns an der Klangbrücke
zur Einweihung des neues Bischofs Dr. Friedrich.
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"Im Jahr
2000 hatte der Chor ein Schulungswochenende am Hesselberg, an dem die vielen
Auftritte bläserisch vorbereitet wurden. Eine kleine Auswahl:
Verabschiedung des Pfarrer-Ehepaares Hövelmann, Konzert zur Wiedereinweihung
der Mökelkirche in Polchow in Mecklenburg-Vorpommern, Nürnberger Weihnacht,
Schnieglinger Weihnacht und diverse Festgottesdienste.",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"

Im Jahre
2001 wurden unsere verdienten Mitglieder Dieter Brandenstein, Erich Kaiser,
Hans und Paul Reinhardt sowie Hans Sörgel mit der goldenen Bläsernadel für 50-jähriges
Blasen in einem Festgottesdienst geehrt. Blasen im Barockgarten zur
Eröffnung der Johanniskirchweih, Serenade im Pfarrgarten sowie
die Adventsveranstaltungen waren die Höhepunkte.


Im Jahre
2002 waren Gottesdienste zur Verabschiedung von Fr. Pfarrerin Glenk von
der Stadtmission in St. Jakob, eine musikalische Begleitung einer Führung in St.
Peter und Paul in Poppenreuth sowie der Festakt zum 25-jährigen Jubiläum
der ARGE fränkische Volksmusik. Zu den üblichen
Adventsfeierlichkeiten durften wir diesmal auch an
der Adventsfeier unserer kath. Nachbargemeinde St.
Konrad teilnehmen. Zum Jahresende legte Paul Reinhardt die
Chorleitung nieder. Als sein Nachfolger und nunmehr vierter Chorleiter wurde
Leonhardt Meisinger gewählt.


Das Jahr
2003 begann mit einem Gottesdienst, in dem unser langjähriger Chorleiter Paul
Reinhardt in den bläserischen Ruhestand versetzt wurde. Gleichzeitig wurde der
neue Chorleiter Leonhard Meisinger eingeführt. Wie in allen ungeraden Jahren
wurde im Sommer eine Serenade im Pfarrhof durchgeführt. Heuer nahmen wir
erstmals an einem Fußballturnier teil, das der Posaunenchor Buchenbühl ausrichtete.
Als Sieger wurden wir dazu verdonnert, im nächsten Jahr eine ähnliche
Veranstaltung auszurichten.


Im Jahr 2004
haben wir den Gottesdienst zum Treffen der Landfrauenchöre
musikalisch untermalt sowie an der Sommernacht in Nürnberg der ARGE fränkische
Volksmusik teilgenommen. Fußballturnier und Nürnberger und Schnieglinger
Weihnacht waren die Höhepunkte.


Im Jahr 2005
waren wir zum Geburtstagsblasen bei einem unserer Gründungsmitglieder
eingeladen, eine Radtour durch unser Knoblauchsland, Sommerserenade und
Nürnberger und Schnieglinger Weihnacht waren die herausragenden Ereignisse.


2006: In
einer Wochenendfreizeit in Rettenbach im Allgäu wurde die erste
Schnieglinger-Gospelnacht vorbereitet. Der Auftritt mit der Band Feel Free fand
allgemein sehr viel Zustimmung, so dass das nicht die letzte Gospelnacht war.


2007: Aufnahmen beim Bayerischen Rundfunk ließen
uns erkennen, dass es die Musiker auch nicht immer leicht haben, um
Aufnahmeleiter zufriedenzustellen.
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"

2008: Wieder
galt es eine Gospelnacht vorzubereiten. Diesmal fuhren wir nach Heiligenstadt,
eine gemeinsame Kanufahrt auf der Wiesent stärkte das Harmoniegefühl. Die
Gospelnacht mit unserem Stargast Tobias sowie der Band Feel Free war wieder ein
voller Erfolg. Zum 60-jährigen Chorjubiläum wurden alle ehemaligen Bläser
soweit bekannt eingeladen. An die 30 konnten wir begrüßen. Auch ein trauriges
Ereignis fand heuer statt, so verstarb unser ehemaliger Chorleiter Karl Pfann
im Alter von 77 Jahren. Er leitete den Chor 43 Jahre mit großer Hingabe und
musikalischer Präzision und sorgte somit dafür, dass der Chor weit über die
Grenzen Schnieglings hinaus bekannt wurde.


2009: Zum
75-jährigem Jubiläum der Eigenständigkeit der Versöhnungskirche ging es im
Pferdewagen zur Mutterkirche nach Poppenreuth, dort wurde mit dem Posaunenchor
Poppenreuth der Festgottesdienst musikalisch begleitet. Die Sommerserenade im
Pfarrhof wurde heuer wetterbedingt in der Versöhnungskirche durchgeführt,
erstmals nahm, neben den  Dooser Sängern, der Kirchenchor unserer
Gemeinde daran teil. Die Schnieglinger Weihnacht wurde heuer erstmals nur mit
Gruppen aus der Gemeinde aufgeführt. Im November begann ein neuer
Ausbildungkurs, zwei Erwachsene und fünf Jugendliche starteten ihre bläserische
Karriere.


2010: Zum
nunmehr dritten Mal wurde heuer die Gospelnacht durchgeführt, mit einer
virtuellen Reise zu den Kontinenten. Es wurden Gespräche via Bildtelefonaten
mit verschiedenen Menschen auf den Kontinenten durchgeführt. Begleitet von
Gospels der Regionen war die Gospelnacht wieder ein voller Erfolg. Zur
Vorbereitung war der Chor ein Wochenende in Bad Alexandersbad. Dort wurde
gemeinsam ein Hochseilgarten besucht. Insgesamt hatte der Chor 32 Termine zu
absolvieren, von denen neben der Gospelnacht die Fränkische Weihnacht der ARGE
Fränkische Volksmusik und der wiederum nur von Schnieglinger Gemeindemitgliedern
durchgeführte Schnieglinger Advent die Höhepunkte waren. Der Posaunenchor
durfte auch in unserer katholischen Nachbargemeinde St. Konrad an deren
Adventfeier teilnehmen. 


2011: Bei den insgesamt 24 Terminen des
Jahres, waren die Höhepunkte die Sommerserenade, die wiederum von den Dooser
Sängern und dem Kirchenchor der Versöhnungskirche mitgestaltet wurden. Und der
Schnieglinger Advent, der wie im vergangenen Jahr nur von Mitgliedern der
Gemeinde gestaltet wurde. An Christi Himmelfahrt wurde gemeinsam mit
dem Kirchenchor ein Volksliedersingen durchgeführt. Die Fränkische
Weihnacht der ARGE fränkische Volksmusik fand heuer in der St. Michael-Kirche
in Johannis statt. Es gab diesmal nur eine Vorstellung. An der Hochzeit
unseres Tubisten Christian durfte der Chor mit dem Heimatchor von
Christian teilnehmen. Mit Carolin W., Christian S., Maximilian
P., Johannes H. und Jens B. hat der Chor im vergangenem Jahr vier Bläser
verloren. Mit Theo D. haben wir einen neuen Tubisten gewonnen. 
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,"2012: Das
Jahr begann wie alle Jahre mit der Mitgliederversammlung. Zu den obligatorischen
Terminen Mitarbeiterfeier, Konfirmation, Osternacht, Jubiläumskonfirmation und
Westfriedhof kamen im ersten Halbjahr noch zwei Hochzeiten hinzu. Am
Kirchweihsonntag wurde wie alle Jahre im Gottesdienst und am Nachmittag beim
Standkonzert geblasen. Das Standkonzert und der anschließende obligatorische
Kirchweihausklang mussten diesmal wegen des schlechtem Wetters in die Kirche
bzw. in den Gemeindesaal verlegt werden.

Die 1. Schnieglinger Filmmusiknacht mit der Gruppe Feel Free war wieder ein
voller Erfolg. Diesmal wurde eine Handlung erfunden und gefilmt. Die Zuhörer
konnten über den Ausgang der Szenen entscheiden.

Die vorherige Freizeit führte uns diesmal nach Schloss Schney. Dort wurde so
intensiv geprobt, dass wir nur einen nächtlichen Ausflug in die Lichtenfelser
Unterwelt unternehmen konnten.

Erntedankgottesdienst, Lichterzug und Totensonntag waren unsere Termine vor der
Adventszeit.           

Wie alle Jahre drängten sich in der Vorweihnachtszeit die Termine. Am 1. Advent
wurde im Gottesdienst am Christkindlesmarkt in Wetzendorf und am Abend in St.
Konrad geblasen. Die Adventsfeier am 2. Advent der ARGE fränkische Volksmusik,
die wir alljährlich begleiten, fand heuer wieder in St. Michael statt. Am 3.
Advent wurde unsere Schnieglinger Adventsfeier wiederum ausschließlich von
Gemeindemitgliedern, verstärkt durch Paula und Georg Meisinger, gestaltet. Die
etwas moderne Gestaltung fand allgemeinen Anklang. Mit der Begleitung des
Krippenspieles und der darauffolgenden Christvesper endete auch diesmal das
Jahr.
",11/06/2022 16:29:50
schniegling,../Domains/Domain_Mirror/schniegling/www.xn--posaunenchor-nrnberg-schniegling-lmd.de/,14006.html,Filmmusiknacht 2012.,11/06/2022 16:29:50
